,listing_Location,Listing_Name,Features,Price,Rating_Review
198,Entire townhouse in Kailua-Kona,Tropical Living in Oceanfront Resort 31,5 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$449 CAD per night,4.79Â (101 reviews)
199,Entire condo in Kihei,Luxury 2bd2bth Kihei Maui Condo Across from Beach,6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,",&nbsp;",4.71Â (62 reviews)
200,Entire condo in Honolulu,2Bd/2Ba High Floor Condo with Canal & City View,5 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,"$397 CAD per night, originally $436",4.78Â (9 reviews)
201,Entire condo in Honolulu,Waikiki Banyan 1 bedroom Condo w/free Parking,6 guests Â· 1 bedroom Â· 3 beds Â· 1 bath,$370 CAD per night,5.0Â (3 reviews)
202,Entire home in Kailua-Kona,Peaceful and classy Ohana in the Kona Palisades,4 guests Â· 1 bedroom Â· 4 beds Â· 1 bath,"$281 CAD per night, originally $301",5.0Â (12 reviews)
203,Entire home in Maunaloa,Beach Condo on Molokai,4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,$264 CAD per night,4.91Â (76 reviews)
204,Entire condo in Maunaloa,Updated Ke Nani Kai 2/2 Upstairs Unit w/Ocean View,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,"$228 CAD per night, originally $246",5.0Â (7 reviews)
205,Entire townhouse in Kailua-Kona,Tropical Living in Oceanfront Resort 31,5 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$449 CAD per night,4.79Â (101 reviews)
206,Entire condo in Kailua Kona,Kona Pacific B409,6 guests Â· 2 bedrooms Â· 4 beds Â· 3 baths,$519 CAD per night,4.80Â (15 reviews)
207,Entire home in Kailua-Kona,Air Conditioned Magic Sands Home Steps From Beach,7 guests Â· 3 bedrooms Â· 4 beds Â· 2 baths,$675 CAD per night,5.0Â (11 reviews)
208,Entire condo in Wailuku,Direct Oceanfront - Kanai A Nalu 203 - 2BD/2BA,5 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,$670 CAD per night,4.92Â (130 reviews)
209,Entire condo in Kailua-Kona,Tropical Luxury â€“  Oceanfront Pool!!,4 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,$321 CAD per night,4.74Â (117 reviews)
210,Entire condo in KapaÊ»a,Paradise awaits! C-203 Dual Master Suite No Fees,6 guests Â· 2 bedrooms Â· 3 beds Â· 3 baths,"$911 CAD per night, originally $1,011",4.87Â (38 reviews)
211,Entire condo in Honolulu,31st Floor Oceanfront 2BD/2BA apt | Free parking,6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,"$1,336 CAD per night",5.0Â (11 reviews)
212,Entire condo in Honolulu,Great Location! Ilikai DELUXE 2 Bdrm.-Ocean Views!,7 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,"$1,129 CAD per night",4.87Â (64 reviews)
213,Entire home in Hana,Hana Ocean Front Paradise,6 guests Â· 3 bedrooms Â· 4 beds Â· 4 baths,"$1,033 CAD per night",4.96Â (24 reviews)
214,Entire rental unit in Honolulu,Aloha Spirit 2B/1B with free parking,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$342 CAD per night,4.25Â (4 reviews)
215,Entire home in Kailua,"For a New Beautiful Kailua Home, Near the Beach",5 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$396 CAD per night,4.80Â (25 reviews)
216,Entire home in Kailua-Kona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests Â· 4 bedrooms Â· 4 beds Â· 2 baths,$658 CAD per night,empty
217,Entire home in PÄhoa,Mama J's Tropical House,5 guests Â· 3 bedrooms Â· 2 beds Â· 2 baths,$175 CAD per night,4.73Â (15 reviews)
218,Entire home in Keaau,Plantation Style Home,6 guests Â· 3 bedrooms Â· 3 beds Â· 2 baths,$508 CAD per night,4.96Â (25 reviews)
219,Entire townhouse in Kihei,Newly remodeled 2B/2B  at Ma'alaea Surf Resort,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$575 CAD per night,5.0Â (6 reviews)
220,Entire home in Keaau,Panoramic Ocean Views in Hawaiian Paradise Retreat,4 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$684 CAD per night,4.98Â (82 reviews)
221,Entire guest suite in Honolulu,Hale Kaulana O Nu'uanu  2 bedroom guest suite w/AC,4 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,$502 CAD per night,5.0Â (23 reviews)
222,Entire villa in Kamuela,Mauna Lani Point PH204,6 guests Â· 3 bedrooms Â· 3 beds Â· 3 baths,"$1,132 CAD per night",4.71Â (14 reviews)
223,Entire condo in Honolulu,2 Bedroom Condo With Parking,4 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$397 CAD per night,4.80Â (202 reviews)
224,Entire home in Volcano,Private Volcano Golf and Country Club Home,6 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,",&nbsp;",4.85Â (346 reviews)
225,Entire townhouse in Waimea,Spring Sale 3br 5star at Mauni Lani,6 guests Â· 3 bedrooms Â· 4 beds Â· 2.5 baths,$603 CAD per night,4.93Â (57 reviews)
226,Entire condo in Kihei,Absolutely the Best!! Full AC & Near Pool! PAW 304,6 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,$572 CAD per night,4.83Â (24 reviews)
227,Entire condo in Kailua-Kona,2bd Oceanfront Condo:  Top Floor-A/C-Elevator-Pool,5 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$433 CAD per night,4.91Â (23 reviews)
228,Entire condo in Honolulu,"I NEED A VACATION!!!  Waikiki Banyan, FREE PARKING",6 guests Â· 1 bedroom Â· 3 beds Â· 1 bath,"$363 CAD per night, originally $414",4.89Â (18 reviews)
229,Entire condo in Lahaina,Maui Hale Kai Oceanfront Condos 101,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$712 CAD per night,4.92Â (13 reviews)
230,Entire townhouse in Kihei,BEST LOCATION W/SUPER LOW RATES! MAUI KAMAOLE A209,6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$530 CAD per night,4.84Â (44 reviews)
231,Entire home in Keaau,HOUSE OF DOLPHINS (Hale Hale'ai),5 guests Â· 2 bedrooms Â· 2 beds Â· 2.5 baths,$836 CAD per night,4.74Â (23 reviews)
232,Entire condo in KapaÊ»a,Paradise awaits! C-203 Dual Master Suite No Fees,6 guests Â· 2 bedrooms Â· 3 beds Â· 3 baths,"$911 CAD per night, originally $1,011",4.87Â (38 reviews)
233,Entire condo in Honolulu,Ilikai Collection # 3. Luxury Condo & Beach Views!,5 guests Â· 1 bedroom Â· 1 bed Â· 1 bath,",&nbsp;",4.94Â (48 reviews)
234,Entire guesthouse in Kailua-Kona,New Modern Condo. Large Lanai. Amazing Ocean View!,5 guests Â· 2 bedrooms Â· 5 beds Â· 2 baths,$539 CAD per night,5.0Â (25 reviews)
235,Entire condo in Honolulu,Views to Die For! Panoramic views in every room,7 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,"$1,202 CAD per night",4.89Â (19 reviews)
236,Entire home in Honolulu,Hawaiian Plantation Home,8 guests Â· 4 bedrooms Â· 4 beds Â· 4.5 baths,"$1,428 CAD per night",4.82Â (58 reviews)
237,Entire home in Kailua,"Beautiful Kailua Home, Near the Beach",5 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$396 CAD per night,4.82Â (67 reviews)
238,Entire home in Maunaloa,Beach Condo on Molokai,4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,$264 CAD per night,4.91Â (76 reviews)
239,Entire home in Kailua-Kona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests Â· 4 bedrooms Â· 4 beds Â· 2 baths,$658 CAD per night,empty
240,Entire cottage in Paia,LunaHouse In The Heart of Paia,4 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,"$466 CAD per night, originally $504",5.0Â (74 reviews)
241,Entire condo in Lahaina,"NEW! Tasteful Lahaina Condo, Beautiful Resort Pool",6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$679 CAD per night,empty
242,Entire home in Paia,"Romantic Maui Beach Home, 3 min walk to Baby Beach",5 guests Â· 3 bedrooms Â· 3 beds Â· 3 baths,"$2,885 CAD per night",4.96Â (46 reviews)
243,Entire condo in Kailua-Kona,RELAX at The Salty Mermaid in Hawaiian paradise.,6 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$319 CAD per night,4.90Â (41 reviews)
244,Entire condo in Kailua-Kona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,"$495 CAD per night, originally $541",5.0Â (8 reviews)
245,Entire home in Naalehu,Aloha Friday Properties,6 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,",&nbsp;",4.73Â (51 reviews)
246,Entire rental unit in Honolulu,Super cozy 2 b/ 1 b in Waikiki - FREE parking,6 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,",&nbsp;",4.53Â (45 reviews)
247,Entire home in PÄhoa,Sugar Shack Classic,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,",&nbsp;",4.93Â (27 reviews)
248,Entire rental unit in Honolulu,2Bedroom Diamond Head Waikiki Lookout-Ocean ViewğŸ–,4 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,$785 CAD per night,empty
249,Entire rental unit in Laie,"Hale MOANA - 2bd, 2ba w/AC - Laie - 30 days",9 guests Â· 2 bedrooms Â· 8 beds Â· 2 baths,$450 CAD per night,4.95Â (153 reviews)
250,Entire rental unit in Honolulu,Sundeck-Waikiki Beach 550Sqft XL Condo -PoolsideğŸ–,4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,$407 CAD per night,empty
251,Entire condo in Kailua-Kona,Kona Makai 3-301 fabulous top floor unit close to the ocean and pool,6 guests Â· 3 bedrooms Â· 3 beds Â· 2 baths,$524 CAD per night,4.82Â (11 reviews)
252,Entire townhouse in Kailua-Kona,Luxury 3/3 townhome w/Ocean View Pool Hot tub,7 guests Â· 3 bedrooms Â· 5 beds Â· 3 baths,$601 CAD per night,4.67Â (12 reviews)
253,Entire home in Pahoa,Hawaii Life Rentals presents The Jewel Box - Oceanfront Luxury in Kehena - THE JEWEL BOX,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$595 CAD per night,4.88Â (8 reviews)
254,Entire condo in Lahaina,Beautifully Remodeled 2/2 Great Family Getaway!,6 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,"$434 CAD per night, originally $485",4.75Â (4 reviews)
255,Entire condo in Honolulu,Spectacular Views - Spacious 2BR Waikiki Penthouse,6 guests Â· 2 bedrooms Â· 4 beds Â· 2 baths,$984 CAD per night,empty
256,Entire loft in Honolulu,Unique opportunity to rent a New York style loft!,6 guests Â· 2 bedrooms Â· 2 beds Â· 1.5 baths,"$834 CAD per night, originally $904",4.72Â (18 reviews)
257,Entire condo in Kihei,Wow! Completely & Beautifully Remodeled! Ekolu1507,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$577 CAD per night,4.95Â (60 reviews)
258,Entire townhouse in Princeville,"NEW!  FAMILY RESORT STYLE LIVING...POOL, A/C, GOLF",6 guests Â· 3 bedrooms Â· 3 beds Â· 2.5 baths,$783 CAD per night,4.94Â (69 reviews)
259,Entire condo in Kihei,Luxury 2BR/2BA condo steps from the best beach!,4 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$367 CAD per night,4.80Â (66 reviews)
260,Entire home in Honolulu,Newly Furnished Spacious 2b1b Island Getaway,5 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$398 CAD per night,4.67Â (21 reviews)
261,Entire condo in Koloa,Cozy Hawaiian style condo,4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,",&nbsp;",4.86Â (64 reviews)
262,Entire condo in Kailua Kona,"Keauhou Punahele E-102 Ground Floor, Spacious Lanai, Personal BBQ, VERY Quiet",4 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$457 CAD per night,empty
263,Entire condo in Kihei,FULLY REMODELED COASTAL DESIGN*DIRECTLY ON BEACH!,6 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$862 CAD per night,5.0Â (27 reviews)
264,Entire home in Honolulu,The Penthouse modern luxury  in Waikiki,9 guests Â· 3 bedrooms Â· 6 beds Â· 2.5 baths,"$1,555 CAD per night",empty
265,Entire home in Hakalau,Pali Lani-Oceanfront Tranquility,5 guests Â· 2 bedrooms Â· 3 beds Â· 2.5 baths,$751 CAD per night,4.40Â (10 reviews)
266,Entire condo in Lahaina,"Temp price drop! 180 deg views, 2b/2ba, on ocean",6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$788 CAD per night,4.88Â (52 reviews)
267,Entire condo in Waikoloa Village,Kolea Resort at Waikoloa Beach,8 guests Â· 3 bedrooms Â· 5 beds Â· 3 baths,$851 CAD per night,4.84Â (19 reviews)
268,Entire condo in Princeville,NEWLY LISTED: Head to the Beach from a Stunning Condo,6 guests Â· 3 bedrooms Â· 3 beds Â· 2 baths,",&nbsp;",empty
269,Entire home in Kailua-Kona,"New Listing- Hale Aka'ulu, house of the red sunset",6 guests Â· 3 bedrooms Â· 4 beds Â· 2 baths,$570 CAD per night,empty
270,Entire rental unit in Honolulu,Private Timeshare next to Hilton Village,8 guests Â· 2 bedrooms Â· 6 beds Â· 2 baths,"$551 CAD per night, originally $620",4.43Â (68 reviews)
271,Entire condo in Lahaina,BREATHTAKING OCEANFRONT VIEWS!,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$577 CAD per night,4.91Â (76 reviews)
272,Entire condo in Honolulu,"Waikiki Island Colony 1 Bdrm, 1702",4 guests Â· 1 bedroom Â· 3 beds Â· 1 bath,"$288 CAD per night, originally $311",4.45Â (11 reviews)
273,Entire condo in Kailua-Kona,Gorgeous MaunaLoaVillage Retreat-2 Masters + A/C!,5 guests Â· 2 bedrooms Â· 4 beds Â· 2.5 baths,$536 CAD per night,4.96Â (25 reviews)
274,Entire condo in Honolulu,"Waikiki 2 Bedroom w/ Covered Parking, Family Condo",6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$566 CAD per night,4.74Â (43 reviews)
275,Entire condo in Honolulu,Lovely 2 bedroom condo with awesome view,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$355 CAD per night,5.0Â (3 reviews)
276,Entire home in Holualoa,Modern Private Home in Holualoa,5 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,$423 CAD per night,empty
277,Entire rental unit in Honolulu,Royal Aloha Waikiki two bedroom NEWLY renovated,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,"$410 CAD per night, originally $447",4.41Â (22 reviews)
278,Entire condo in KapaÊ»a,Blissful Oceanfront Condo On Coconut Coast Trail!,6 guests Â· 3 bedrooms Â· 5 beds Â· 2.5 baths,$613 CAD per night,4.83Â (18 reviews)
279,Entire rental unit in Honolulu,Waikiki enjoy beach walk and Surf,4 guests Â· 1 bedroom Â· 3 beds Â· 1 bath,$218 CAD per night,4.58Â (50 reviews)
280,Entire home in Holualoa,Modern Private Home in Holualoa,5 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,$423 CAD per night,empty
281,Entire rental unit in Honolulu,Royal Aloha Waikiki two bedroom NEWLY renovated,6 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,"$410 CAD per night, originally $447",4.41Â (22 reviews)
282,Entire condo in KapaÊ»a,Blissful Oceanfront Condo On Coconut Coast Trail!,6 guests Â· 3 bedrooms Â· 5 beds Â· 2.5 baths,$613 CAD per night,4.83Â (18 reviews)
283,Entire rental unit in Honolulu,Waikiki enjoy beach walk and Surf,4 guests Â· 1 bedroom Â· 3 beds Â· 1 bath,$218 CAD per night,4.58Â (50 reviews)
284,Entire townhouse in Princeville,Quiet 2-bedroom home surrounded by tropical garden,6 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$579 CAD per night,5.0Â (17 reviews)
285,Entire condo in Princeville,Beautiful spacious ocean and mountain view condo .,4 guests Â· 2 bedrooms Â· 1 bed Â· 2 baths,"$492 CAD per night, originally $565",empty
286,Entire condo in Princeville,Princeville 2BR / 2BA Remodeled Condo with Views,5 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,"$565 CAD per night, originally $613",5.0Â (7 reviews)
287,Entire condo in Kihei,Bright and Cheery Maui Vista 2 bed 2 bath,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$379 CAD per night,4.71Â (24 reviews)
288,Entire rental unit in Honolulu,2 Bedroom / 1 Bath Corner Unit with Great Views!!,8 guests Â· 2 bedrooms Â· 4 beds Â· 1 bath,$429 CAD per night,4.32Â (28 reviews)
289,Entire condo in Kihei,"Ocean view, ground fl 1 brdm Hale Kamaole - #164",4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,$375 CAD per night,4.95Â (22 reviews)
290,Entire home in Waimea,NEW REMODELED- Puako House - Across from Beach!,6 guests Â· 3 bedrooms Â· 3 beds Â· 2.5 baths,$804 CAD per night,4.84Â (58 reviews)
291,Entire rental unit in Honolulu,Ohana house 2,4 guests Â· 2 bedrooms Â· 2 beds Â· 1 bath,$323 CAD per night,empty
292,Entire home in Hakalau,Hale Aloha - Home of Aloha and Warmth,5 guests Â· 3 bedrooms Â· 4 beds Â· 1.5 baths,$282 CAD per night,4.94Â (16 reviews)
293,Entire home in Koloa,2BR/ 1BA Poipu Beach Cottage,4 guests Â· 2 bedrooms Â· 3 beds Â· 1 bath,",&nbsp;",4.97Â (33 reviews)
294,Entire condo in Princeville,Beautiful 2bdrm Air-Conditioned condo - pool/spa,4 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$595 CAD per night,4.94Â (17 reviews)
295,Entire townhouse in Waimea,"Mauna Lani Palm Villas F-1 Townhome, Brand New!!",8 guests Â· 3 bedrooms Â· 4 beds Â· 3 baths,$964 CAD per night,4.88Â (17 reviews)
296,Entire condo in Kihei,Palms of Wailea,5 guests Â· 2 bedrooms Â· 3 beds Â· 2 baths,$562 CAD per night,4.87Â (54 reviews)
297,Entire home in PÄhoa,Relaxing Country Home with Lush Yard,6 guests Â· 3 bedrooms Â· 4 beds Â· 2 baths,"$225 CAD per night, originally $259",4.86Â (28 reviews)
298,Entire rental unit in Kailua-Kona,La Caseta- Upstairs Tropical Home Close to the Ocean,4 guests Â· 2 bedrooms Â· 2 beds Â· 2 baths,$621 CAD per night,4.96Â (76 reviews)
299,Entire rental unit in Kihei,"Newly Remodeled Unit in Lush, Tropical Complex",4 guests Â· 1 bedroom Â· 2 beds Â· 1 bath,$308 CAD per night,4.72Â (121 reviews)
